"filename", "language", "HTML", "JSON", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\22432\Desktop\前端\HTML\homework\formTask.html", "HTML", -168, 0, 0, 0, 0, -18, -186
"c:\Users\22432\Desktop\前端\HTML\homework\sesume.html", "HTML", -122, 0, 0, 0, 0, -26, -148
"c:\Users\22432\Desktop\前端\HTML\homework\space.html", "HTML", -74, 0, 0, 0, 0, -4, -78
"c:\Users\22432\Desktop\前端\HTML\homework\tableTask.html", "HTML", -52, 0, 0, 0, 0, -4, -56
"c:\Users\22432\Desktop\前端\HTML\homework\计算器.html", "HTML", -85, 0, 0, 0, 0, -12, -97
"c:\Users\22432\Desktop\前端\HTML\html\01- html的基本结构.html", "HTML", 16, 0, 0, 0, 23, 0, 39
"c:\Users\22432\Desktop\前端\HTML\html\02- p标签 段落标签.html", "HTML", 12, 0, 0, 0, 0, 2, 14
"c:\Users\22432\Desktop\前端\HTML\html\03- hr标签 水平分割线.html", "HTML", 14, 0, 0, 0, 1, 4, 19
"c:\Users\22432\Desktop\前端\HTML\html\04- 加粗 斜体 文本标签.html", "HTML", 17, 0, 0, 0, 11, 3, 31
"c:\Users\22432\Desktop\前端\HTML\html\05- a标签 锚点链接.html", "HTML", 49, 0, 0, 0, 12, 5, 66
"c:\Users\22432\Desktop\前端\HTML\html\06- img 图片标签.html", "HTML", 12, 0, 0, 0, 11, 0, 23
"c:\Users\22432\Desktop\前端\HTML\html\07- video audio 音频视频标签.html", "HTML", 12, 0, 0, 0, 16, 1, 29
"c:\Users\22432\Desktop\前端\HTML\html\08- 无序 有序 自定义列表.html", "HTML", 37, 0, 0, 0, 22, 2, 61
"c:\Users\22432\Desktop\前端\HTML\html\09- table 表格.html", "HTML", 123, 0, 0, 0, 23, 24, 170
"c:\Users\22432\Desktop\前端\HTML\html\10- 特殊的符号.html", "HTML", 12, 0, 0, 0, 12, 0, 24
"c:\Users\22432\Desktop\前端\HTML\html\11- form 表单.html", "HTML", 51, 0, 0, 0, 48, 3, 102
"c:\Users\22432\Desktop\前端\HTML\html\12- css 颜色.html", "HTML", 12, 0, 0, 0, 13, 0, 25
"c:\Users\22432\Desktop\前端\HTML\html\13- 引入css样式的方式.html", "HTML", 14, 0, 0, 0, 3, 1, 18
"c:\Users\22432\Desktop\前端\HTML\html\14- css 选择器.html", "HTML", 45, 0, 0, 0, 2, 1, 48
"c:\Users\22432\Desktop\前端\HTML\html\15- font标签 字体样式.html", "HTML", 74, 0, 0, 0, 0, 16, 90
"c:\Users\22432\Desktop\前端\HTML\html\16- 浮雕字.html", "HTML", 34, 0, 0, 0, 0, 1, 35
"c:\Users\22432\Desktop\前端\HTML\html\17- background 背景样式.html", "HTML", 34, 0, 0, 0, 0, 1, 35
"c:\Users\22432\Desktop\前端\HTML\html\18- 背景图片应用  精灵图.html", "HTML", 35, 0, 0, 0, 4, 6, 45
"c:\Users\22432\Desktop\前端\HTML\html\19- 图片3px问题.html", "HTML", 27, 0, 0, 0, 4, 1, 32
"c:\Users\22432\Desktop\前端\HTML\html\20- 盒子模型.html", "HTML", 53, 0, 0, 0, 0, 2, 55
"c:\Users\22432\Desktop\前端\HTML\html\21- 文字超出盒子范围.html", "HTML", 41, 0, 0, 0, 1, 4, 46
"c:\Users\22432\Desktop\前端\HTML\html\22- 列表样式.html", "HTML", 69, 0, 0, 0, 0, 5, 74
"c:\Users\22432\Desktop\前端\HTML\html\23- 浮动布局.html", "HTML", 34, 0, 0, 0, 0, 2, 36
"c:\Users\22432\Desktop\前端\HTML\html\24- 清除浮动.html", "HTML", 45, 0, 0, 0, 0, 2, 47
"c:\Users\22432\Desktop\前端\HTML\html\25- 解决浮动的影响01.html", "HTML", 31, 0, 0, 0, 12, 6, 49
"c:\Users\22432\Desktop\前端\HTML\html\26- 解决浮动的影响02.html", "HTML", 34, 0, 0, 0, 12, 6, 52
"c:\Users\22432\Desktop\前端\HTML\html\27- 解决浮动的影响03.html", "HTML", 41, 0, 0, 0, 12, 8, 61
"c:\Users\22432\Desktop\前端\HTML\html\28- 关系选择器.html", "HTML", 73, 0, 0, 0, 0, 6, 79
"c:\Users\22432\Desktop\前端\HTML\html\29- 伪类选择器.html", "HTML", 112, 0, 0, 0, 0, 17, 129
"c:\Users\22432\Desktop\前端\HTML\html\30- 属性选择器.html", "HTML", 57, 0, 0, 0, 0, 8, 65
"c:\Users\22432\Desktop\前端\HTML\html\31- 样式的继承.html", "HTML", 24, 0, 0, 0, 9, 3, 36
"c:\Users\22432\Desktop\前端\HTML\html\32- 选择器优先级问题.html", "HTML", 22, 0, 0, 0, 4, 1, 27
"c:\Users\22432\Desktop\前端\HTML\html\33- 权重值.html", "HTML", 37, 0, 0, 0, 0, 6, 43
"c:\Users\22432\Desktop\前端\HTML\html\34- 定位.html", "HTML", 100, 0, 0, 0, 0, 3, 103
"c:\Users\22432\Desktop\前端\HTML\html\35- 定位中的子绝父相.html", "HTML", 36, 0, 0, 0, 0, 0, 36
"c:\Users\22432\Desktop\前端\HTML\html\36- 定位练习_太极图.html", "HTML", 79, 0, 0, 0, 7, 8, 94
"c:\Users\22432\Desktop\前端\HTML\html\37- 定位中的层级.html", "HTML", 37, 0, 0, 0, 0, 1, 38
"c:\Users\22432\Desktop\前端\HTML\html\38- 盒子在网页正中间的方法.html", "HTML", 26, 0, 0, 0, 0, 0, 26
"c:\Users\22432\Desktop\前端\HTML\html\39- 浮动布局的影响.html", "HTML", 46, 0, 0, 0, 8, 0, 54
"c:\Users\22432\Desktop\前端\HTML\html\40- 弹性盒子.html", "HTML", 63, 0, 0, 0, 42, 11, 116
"c:\Users\22432\Desktop\前端\HTML\html\41- 过渡动画.html", "HTML", 43, 0, 0, 0, 0, 1, 44
"c:\Users\22432\Desktop\前端\HTML\html\42- 动画.html", "HTML", 37, 0, 0, 0, 0, 2, 39
"c:\Users\22432\Desktop\前端\HTML\html\43- 盒子阴影.html", "HTML", 29, 0, 0, 0, 0, 1, 30
"c:\Users\22432\Desktop\前端\HTML\html\44- 字体图标.html", "HTML", 56, 0, 0, 0, 0, 1, 57
"c:\Users\22432\Desktop\前端\HTML\html\999- 测试测试测试测试.html", "HTML", 19, 0, 0, 0, 0, 2, 21
"c:\Users\22432\Desktop\前端\HTML\html\fonts\demo.css", "CSS", 0, 0, 0, 435, 19, 86, 540
"c:\Users\22432\Desktop\前端\HTML\html\fonts\demo_index.html", "HTML", 211, 0, 0, 0, 2, 22, 235
"c:\Users\22432\Desktop\前端\HTML\html\fonts\iconfont.css", "CSS", 0, 0, 0, 19, 0, 5, 24
"c:\Users\22432\Desktop\前端\HTML\html\fonts\iconfont.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1
"c:\Users\22432\Desktop\前端\HTML\html\fonts\iconfont.json", "JSON", 0, 23, 0, 0, 0, 1, 24
"Total", "-", 1584, 23, 1, 454, 333, 227, 2622
