"filename", "language", "HTML", "CSS", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\22432\Desktop\前端\HTML\html\fonts\demo.css", "CSS", 0, -435, 0, 0, -19, -86, -540
"c:\Users\22432\Desktop\前端\HTML\html\fonts\demo_index.html", "HTML", -211, 0, 0, 0, -2, -22, -235
"c:\Users\22432\Desktop\前端\HTML\html\fonts\iconfont.css", "CSS", 0, -19, 0, 0, 0, -5, -24
"c:\Users\22432\Desktop\前端\HTML\html\fonts\iconfont.js", "JavaScript", 0, 0, -1, 0, 0, 0, -1
"c:\Users\22432\Desktop\前端\HTML\html\fonts\iconfont.json", "JSON", 0, 0, 0, -23, 0, -1, -24
"c:\Users\22432\Desktop\前端\HTML\project\个人博客页面\个人博客.css", "CSS", 0, 73, 0, 0, 9, 27, 109
"c:\Users\22432\Desktop\前端\HTML\project\个人博客页面\个人博客.html", "HTML", 44, 0, 0, 0, 5, 13, 62
"c:\Users\22432\Desktop\前端\HTML\project\小米商城页面\css\index.css", "CSS", 0, 73, 0, 0, 22, 28, 123
"c:\Users\22432\Desktop\前端\HTML\project\小米商城页面\css\reset.css", "CSS", 0, 20, 0, 0, 7, 6, 33
"c:\Users\22432\Desktop\前端\HTML\project\小米商城页面\index.html", "HTML", 84, 0, 0, 0, 24, 19, 127
"Total", "-", -83, -288, -1, -23, 46, -21, -370
