"filename", "language", "HTML", "comment", "blank", "total"
"c:\Users\22432\Desktop\前端\JavaScript\code\01- js和html结合方式.html", "HTML", -22, -2, -3, -27
"c:\Users\22432\Desktop\前端\JavaScript\code\02- js中的变量和标识符.html", "HTML", -50, 0, -10, -60
"c:\Users\22432\Desktop\前端\JavaScript\code\03- JS中的数据类型.html", "HTML", -57, 0, -7, -64
"c:\Users\22432\Desktop\前端\JavaScript\code\04- 数据类型转换.html", "HTML", -57, 0, -14, -71
"c:\Users\22432\Desktop\前端\JavaScript\code\05- 算术运算符.html", "HTML", -27, 0, -4, -31
"c:\Users\22432\Desktop\前端\JavaScript\code\06- 比较运算符.html", "HTML", -22, 0, -2, -24
"c:\Users\22432\Desktop\前端\JavaScript\code\07- 逻辑运算符.html", "HTML", -33, 0, -5, -38
"c:\Users\22432\Desktop\前端\JavaScript\code\08- 三目运算符.html", "HTML", -15, 0, -3, -18
"c:\Users\22432\Desktop\前端\JavaScript\code\09- 循环结构.html", "HTML", -58, 0, -14, -72
"c:\Users\22432\Desktop\前端\JavaScript\homework\学生分数.html", "HTML", 30, 0, 3, 33
"c:\Users\22432\Desktop\前端\JavaScript\homework\斐波那契.html", "HTML", 30, 0, 1, 31
"c:\Users\22432\Desktop\前端\JavaScript\homework\水仙花数.html", "HTML", 21, 0, 4, 25
"Total", "-", -260, -2, -54, -316
